ProdID;descricao_atributo;descricao_valor_atributo
123000;Marca;Cortelle
123000;Localização;Solo
123000;Calendario;Todo Ano
123000;Piramide Mercadologica;Essential
123000;Natureza;Normal
123000;Itens Fundamentais;NOS
123000;Tema;Basicos
123000;Sazonalidade;Todas Estacoes
123000;Padronagem;Liso
123000;Programa;Basico
123000;Modelagem;Aprovada com Restricao
123000;Push & Pull;Descontinuado
123000;Cadeia Produtiva;NA
123000;Sexo;Feminino
123000;Produtos;Fem Neotraditional
123000;Tipo;Reposicao
123000;Estampado;Não
123000;Marca;Cortelle
123000;Localização;Solo
123000;Calendario;Todo Ano
123000;Piramide Mercadologica;Essential
123000;Natureza;Normal
123000;Itens Fundamentais;NOS
123000;Tema;Basicos
123000;Sazonalidade;Todas Estacoes
123000;Padronagem;Liso
123000;Programa;Basico
123000;Modelagem;Aprovada com Restricao
123000;Push & Pull;Descontinuado
123000;Cadeia Produtiva;NA
123000;Sexo;Feminino
123000;Produtos;Fem Neotraditional
123000;Tipo;Reposicao
123000;Estampado;Não
123000;Marca;Cortelle
123000;Localização;Solo
123000;Calendario;Todo Ano
123000;Piramide Mercadologica;Essential
123000;Natureza;Normal
123000;Itens Fundamentais;NOS
123000;Tema;Basicos
123000;Sazonalidade;Todas Estacoes
123000;Padronagem;Liso
123000;Programa;Basico
123000;Modelagem;Aprovada com Restricao
123000;Push & Pull;Descontinuado
123000;Cadeia Produtiva;NA
123000;Sexo;Feminino
123000;Produtos;Fem Neotraditional
123000;Tipo;Reposicao
123000;Estampado;Não
123000;Marca;Cortelle
123000;Localização;Solo
123000;Calendario;Todo Ano
123000;Piramide Mercadologica;Essential
123000;Natureza;Normal
123000;Itens Fundamentais;NOS
123000;Tema;Basicos
123000;Sazonalidade;Todas Estacoes
123000;Padronagem;Liso
123000;Programa;Basico
123000;Modelagem;Aprovada com Restricao
123000;Push & Pull;Descontinuado
123000;Cadeia Produtiva;NA
123000;Sexo;Feminino
123000;Produtos;Fem Neotraditional
123000;Tipo;Reposicao
123000;Estampado;Não
123001;Marca;Cortelle
123001;Localização;Table Mesa
123001;Calendario;1 Entrada Verao
123001;Piramide Mercadologica;Core Fundamental
123001;Natureza;Normal
123001;Itens Fundamentais;Basico de Colecao
123001;Tema;Verao 2019 Alfa
123001;Sazonalidade;Todas Estacoes
123001;Padronagem;Repeticao de Icone
123001;Programa;Sem Programa
123001;Modelagem;China Approved with Restrictions
123001;Push & Pull;Descontinuado
123001;Cadeia Produtiva;Tecido Plano
123001;Sexo;Feminino
123001;Fit Bottom;Cigarrete
123001;Sexo;Feminino
123001;Fit Bottom;Cigarrete
123001;Marca;Cortelle
123001;Localização;Table Mesa
123001;Calendario;1 Entrada Verao
123001;Piramide Mercadologica;Core Fundamental
123001;Natureza;Normal
123001;Itens Fundamentais;Basico de Colecao
123001;Tema;Verao 2019 Alfa
123001;Sazonalidade;Todas Estacoes
123001;Padronagem;Repeticao de Icone
123001;Programa;Sem Programa
123001;Modelagem;China Approved with Restrictions
123001;Push & Pull;Descontinuado
123001;Cadeia Produtiva;Tecido Plano
123002;Sexo;Feminino
123002;Marca;Cortelle
123002;Localização;Solo
123002;Calendario;Todo Ano
123002;Piramide Mercadologica;Essential
123002;Natureza;Normal
123002;Itens Fundamentais;Basico Sazonal
123002;Tema;Basicos
123002;Sazonalidade;Todas Estacoes
123002;Padronagem;Liso
123002;Programa;Basico
123002;Modelagem;China Approved with Restrictions
123002;Push & Pull;Descontinuado
123002;Cadeia Produtiva;NA
123002;Sexo;Feminino
123002;Marca;Cortelle
123002;Localização;Solo
123002;Calendario;Todo Ano
123002;Piramide Mercadologica;Essential
123002;Natureza;Normal
123002;Itens Fundamentais;Basico Sazonal
123002;Tema;Basicos
123002;Sazonalidade;Todas Estacoes
123002;Padronagem;Liso
123002;Programa;Basico
123002;Modelagem;China Approved with Restrictions
123002;Push & Pull;Descontinuado
123002;Cadeia Produtiva;NA
123002;Sexo;Feminino
123002;Marca;Cortelle
123002;Localização;Solo
123002;Calendario;Todo Ano
123002;Piramide Mercadologica;Essential
123002;Natureza;Normal
123002;Itens Fundamentais;Basico Sazonal
123002;Tema;Basicos
123002;Sazonalidade;Todas Estacoes
123002;Padronagem;Liso
123002;Programa;Basico
123002;Modelagem;China Approved with Restrictions
123002;Push & Pull;Descontinuado
123002;Cadeia Produtiva;NA
123002;Marca;Cortelle
123002;Localização;Solo
123002;Calendario;Todo Ano
