TransactionID;Date;StoreID;ProdID;CustomerID;UnitsSold;Descrição;Tamanho;Cor;ValueSold;Promo
1;02/01/2022;Loja007;123005;90023;2;Blusa em malha;  P;Cinza;99,98;0
2;02/01/2022;Loja009;123004;90092;1;Regata;M;Cinza;35,99;0
3;02/01/2022;Loja001;123001;90027;2;Calça algodão;  G;Cinza;51,98;0
4;02/01/2022;Loja003;123001;90097;2;Calça algodão;  G;Cinza;51,98;0
5;02/01/2022;Loja004;123004;90089;2;Regata;M;Cinza;71,98;0
6;02/01/2022;Loja004;123006;90021;3;Colete;P;Preto;151,173;1
7;02/01/2022;Loja009;123005;90072;4;Blusa em malha;  P;Cinza;199,96;0
8;02/01/2022;Loja001;123002;90006;3;Camisa manga longa;M;Preto;83,97;0
9;03/01/2022;Loja006;123002;90006;2;Camisa manga longa;M;Preto;55,98;0
10;03/01/2022;Loja003;123002;90069;1;Camisa manga longa;M;Preto;25,191;1
11;03/01/2022;Loja002;123007;90042;2;Camisa jeans;P;Vermelho;119,98;0
12;03/01/2022;Loja004;123003;90017;3;Blusa manga curta; M;Vermelho;83,97;0
13;03/01/2022;Loja007;123006;90067;2;Colete;P;Preto;111,98;0
14;03/01/2022;Loja006;123003;90091;3;Blusa manga curta; M;Vermelho;83,97;0
15;03/01/2022;Loja002;123004;90093;2;Regata;M;Cinza;71,98;0
16;03/01/2022;Loja003;123001;90053;2;Calça algodão;  G;Cinza;51,98;0
17;03/01/2022;Loja001;123001;90007;1;Calça algodão;  G;Cinza;25,99;0
18;04/01/2022;Loja005;123005;90076;3;Blusa em malha;  P;Cinza;149,97;0
19;04/01/2022;Loja007;123005;90029;2;Blusa em malha;  P;Cinza;99,98;0
20;04/01/2022;Loja005;123006;90080;4;Colete;P;Preto;223,96;0
21;04/01/2022;Loja005;123005;90095;2;Blusa em malha;  P;Cinza;99,98;0
22;04/01/2022;Loja002;123008;90096;3;Calça pantalona;G;Vermelho;269,97;0
23;04/01/2022;Loja009;123005;90039;2;Blusa em malha;  P;Cinza;99,98;0
24;04/01/2022;Loja004;123002;90061;3;Camisa manga longa;M;Preto;83,97;0
25;04/01/2022;Loja005;123004;90095;2;Regata;M;Cinza;71,98;0
26;04/01/2022;Loja007;123008;90055;4;Calça pantalona;G;Vermelho;359,96;0
27;04/01/2022;Loja004;123004;90066;1;Regata;M;Cinza;35,99;0
28;04/01/2022;Loja009;123007;90010;3;Camisa jeans;P;Vermelho;179,97;0
29;04/01/2022;Loja003;123004;90018;3;Regata;M;Cinza;107,97;0
30;04/01/2022;Loja007;123002;90027;2;Camisa manga longa;M;Preto;55,98;0
31;04/01/2022;Loja003;123008;90075;3;Calça pantalona;G;Vermelho;269,97;0
32;04/01/2022;Loja006;123006;90078;3;Colete;P;Preto;167,97;0
33;04/01/2022;Loja009;123002;90057;2;Camisa manga longa;M;Preto;55,98;0
34;04/01/2022;Loja002;123008;90094;3;Calça pantalona;G;Vermelho;269,97;0
35;04/01/2022;Loja005;123006;90088;3;Colete;P;Preto;167,97;0
36;04/01/2022;Loja001;123004;90012;3;Regata;M;Cinza;107,97;0
37;04/01/2022;Loja005;123003;90022;3;Blusa manga curta; M;Vermelho;83,97;0
38;04/01/2022;Loja005;123003;90058;3;Blusa manga curta; M;Vermelho;83,97;0
39;04/01/2022;Loja004;123009;90048;4;Jaqueta;GG;Vermelho;367,96;0
40;04/01/2022;Loja003;123007;90024;2;Camisa jeans;P;Vermelho;119,98;0
41;04/01/2022;Loja006;123008;90035;3;Calça pantalona;G;Vermelho;269,97;0
42;04/01/2022;Loja004;123009;90059;1;Jaqueta;GG;Vermelho;91,99;0
43;04/01/2022;Loja003;123005;90080;2;Blusa em malha;  P;Cinza;99,98;0
44;04/01/2022;Loja007;123005;90019;2;Blusa em malha;  P;Cinza;99,98;0
45;04/01/2022;Loja004;123008;90049;3;Calça pantalona;G;Vermelho;269,97;0
46;05/01/2022;Loja007;123009;90027;2;Jaqueta;GG;Vermelho;183,98;0
47;05/01/2022;Loja002;123007;90074;2;Camisa jeans;P;Vermelho;119,98;0
48;05/01/2022;Loja005;123005;90069;3;Blusa em malha;  P;Cinza;134,973;1
49;06/01/2022;Loja008;123005;90027;1;Blusa em malha;  P;Cinza;49,99;0
50;06/01/2022;Loja004;123000;90098;4;Calça liso;  P;Azul;79,96;0
51;06/01/2022;Loja010;123005;90022;3;Blusa em malha;  P;Cinza;149,97;0
52;06/01/2022;Loja007;123006;90064;4;Colete;P;Preto;223,96;0
53;06/01/2022;Loja009;123008;90037;2;Calça pantalona;G;Vermelho;179,98;0
54;07/01/2022;Loja001;123004;90001;3;Regata;M;Cinza;107,97;0
55;07/01/2022;Loja007;123002;90016;2;Camisa manga longa;M;Preto;55,98;0
56;07/01/2022;Loja004;123002;90008;2;Camisa manga longa;M;Preto;55,98;0
57;07/01/2022;Loja003;123003;90050;3;Blusa manga curta; M;Vermelho;83,97;0
58;07/01/2022;Loja010;123001;90026;3;Calça algodão;  G;Cinza;77,97;0
59;07/01/2022;Loja002;123003;90056;3;Blusa manga curta; M;Vermelho;83,97;0
60;07/01/2022;Loja008;123001;90067;3;Calça algodão;  G;Cinza;77,97;0
61;07/01/2022;Loja010;123002;90088;2;Camisa manga longa;M;Preto;50,382;1
62;07/01/2022;Loja010;123004;90093;2;Regata;M;Cinza;64,782;1
63;07/01/2022;Loja005;123005;90018;2;Blusa em malha;  P;Cinza;99,98;0
64;07/01/2022;Loja005;123003;90096;3;Blusa manga curta; M;Vermelho;83,97;0
65;07/01/2022;Loja002;123001;90066;2;Calça algodão;  G;Cinza;51,98;0
66;07/01/2022;Loja008;123004;90055;3;Regata;M;Cinza;107,97;0
67;07/01/2022;Loja010;123005;90002;3;Blusa em malha;  P;Cinza;134,973;1
68;07/01/2022;Loja007;123008;90096;1;Calça pantalona;G;Vermelho;89,99;0
69;07/01/2022;Loja004;123000;90091;1;Calça liso;  P;Azul;17,991;1
70;07/01/2022;Loja009;123008;90085;2;Calça pantalona;G;Vermelho;179,98;0
71;07/01/2022;Loja009;123007;90078;3;Camisa jeans;P;Vermelho;161,973;1
72;07/01/2022;Loja003;123003;90081;3;Blusa manga curta; M;Vermelho;83,97;0
73;07/01/2022;Loja003;123003;90064;2;Blusa manga curta; M;Vermelho;50,382;1
74;07/01/2022;Loja003;123005;90098;3;Blusa em malha;  P;Cinza;134,973;1
75;07/01/2022;Loja003;123006;90075;1;Colete;P;Preto;50,391;1
76;07/01/2022;Loja004;123008;90015;1;Calça pantalona;G;Vermelho;89,99;0
77;07/01/2022;Loja007;123006;90043;2;Colete;P;Preto;111,98;0
78;07/01/2022;Loja007;123003;90035;4;Blusa manga curta; M;Vermelho;111,96;0
79;07/01/2022;Loja001;123006;90044;3;Colete;P;Preto;151,173;1
80;07/01/2022;Loja008;123002;90043;3;Camisa manga longa;M;Preto;83,97;0
81;07/01/2022;Loja005;123001;90036;3;Calça algodão;  G;Cinza;70,173;1
82;07/01/2022;Loja007;123008;90011;3;Calça pantalona;G;Vermelho;269,97;0
83;07/01/2022;Loja002;123005;90046;2;Blusa em malha;  P;Cinza;99,98;0
84;07/01/2022;Loja004;123005;90015;1;Blusa em malha;  P;Cinza;49,99;0
85;07/01/2022;Loja003;123000;90020;4;Calça liso;  P;Azul;79,96;0
86;07/01/2022;Loja002;123002;90083;2;Camisa manga longa;M;Preto;55,98;0
87;07/01/2022;Loja005;123009;90090;4;Jaqueta;GG;Vermelho;367,96;0
88;07/01/2022;Loja008;123008;90002;3;Calça pantalona;G;Vermelho;269,97;0
89;07/01/2022;Loja009;123005;90054;3;Blusa em malha;  P;Cinza;149,97;0
90;07/01/2022;Loja005;123005;90019;3;Blusa em malha;  P;Cinza;149,97;0
91;07/01/2022;Loja007;123006;90035;3;Colete;P;Preto;167,97;0
92;08/01/2022;Loja003;123004;90091;3;Regata;M;Cinza;107,97;0
93;08/01/2022;Loja001;123003;90072;2;Blusa manga curta; M;Vermelho;55,98;0
94;08/01/2022;Loja005;123008;90005;4;Calça pantalona;G;Vermelho;359,96;0
95;08/01/2022;Loja003;123009;90058;3;Jaqueta;GG;Vermelho;275,97;0
96;08/01/2022;Loja006;123000;90061;3;Calça liso;  P;Azul;59,97;0
97;08/01/2022;Loja008;123004;90070;2;Regata;M;Cinza;64,782;1
98;09/01/2022;Loja004;123008;90038;4;Calça pantalona;G;Vermelho;359,96;0
99;09/01/2022;Loja006;123002;90060;3;Camisa manga longa;M;Preto;83,97;0
100;09/01/2022;Loja007;123004;90008;1;Regata;M;Cinza;35,99;0
101;09/01/2022;Loja009;123008;90098;3;Calça pantalona;G;Vermelho;269,97;0
102;09/01/2022;Loja008;123007;90018;4;Camisa jeans;P;Vermelho;239,96;0
103;09/01/2022;Loja002;123006;90003;2;Colete;P;Preto;111,98;0
104;09/01/2022;Loja005;123007;90034;1;Camisa jeans;P;Vermelho;59,99;0
105;09/01/2022;Loja009;123002;90028;1;Camisa manga longa;M;Preto;27,99;0
106;09/01/2022;Loja002;123007;90072;2;Camisa jeans;P;Vermelho;119,98;0
107;09/01/2022;Loja007;123004;90076;2;Regata;M;Cinza;71,98;0
108;09/01/2022;Loja009;123003;90078;3;Blusa manga curta; M;Vermelho;83,97;0
109;09/01/2022;Loja008;123004;90003;3;Regata;M;Cinza;107,97;0
110;09/01/2022;Loja002;123002;90015;3;Camisa manga longa;M;Preto;83,97;0
111;09/01/2022;Loja002;123005;90062;2;Blusa em malha;  P;Cinza;99,98;0
112;09/01/2022;Loja002;123000;90045;3;Calça liso;  P;Azul;59,97;0
113;09/01/2022;Loja008;123008;90069;2;Calça pantalona;G;Vermelho;161,982;1
114;09/01/2022;Loja003;123003;90087;1;Blusa manga curta; M;Vermelho;27,99;0
115;09/01/2022;Loja003;123004;90011;3;Regata;M;Cinza;107,97;0
116;09/01/2022;Loja007;123001;90074;1;Calça algodão;  G;Cinza;23,391;1
117;09/01/2022;Loja002;123004;90046;1;Regata;M;Cinza;35,99;0
118;09/01/2022;Loja006;123005;90059;2;Blusa em malha;  P;Cinza;99,98;0
119;09/01/2022;Loja008;123002;90085;3;Camisa manga longa;M;Preto;83,97;0
120;09/01/2022;Loja008;123006;90007;2;Colete;P;Preto;111,98;0
121;09/01/2022;Loja006;123002;90008;4;Camisa manga longa;M;Preto;111,96;0
122;09/01/2022;Loja003;123006;90075;3;Colete;P;Preto;167,97;0
123;10/01/2022;Loja004;123004;90058;3;Regata;M;Cinza;107,97;0
124;10/01/2022;Loja005;123003;90014;2;Blusa manga curta; M;Vermelho;50,382;1
125;10/01/2022;Loja009;123000;90087;2;Calça liso;  P;Azul;39,98;0
126;10/01/2022;Loja010;123008;90019;2;Calça pantalona;G;Vermelho;179,98;0
127;10/01/2022;Loja003;123008;90002;3;Calça pantalona;G;Vermelho;269,97;0
128;10/01/2022;Loja002;123005;90028;2;Blusa em malha;  P;Cinza;99,98;0
129;10/01/2022;Loja003;123001;90075;2;Calça algodão;  G;Cinza;51,98;0
130;10/01/2022;Loja006;123004;90078;3;Regata;M;Cinza;107,97;0
131;10/01/2022;Loja010;123009;90010;4;Jaqueta;GG;Vermelho;331,164;1
132;10/01/2022;Loja010;123008;90040;1;Calça pantalona;G;Vermelho;89,99;0
133;10/01/2022;Loja007;123001;90038;2;Calça algodão;  G;Cinza;51,98;0
134;10/01/2022;Loja007;123005;90036;2;Blusa em malha;  P;Cinza;99,98;0
135;10/01/2022;Loja003;123002;90016;3;Camisa manga longa;M;Preto;83,97;0
136;10/01/2022;Loja006;123001;90085;2;Calça algodão;  G;Cinza;46,782;1
137;10/01/2022;Loja001;123002;90086;3;Camisa manga longa;M;Preto;83,97;0
138;10/01/2022;Loja003;123007;90011;2;Camisa jeans;P;Vermelho;119,98;0
139;10/01/2022;Loja005;123007;90091;2;Camisa jeans;P;Vermelho;119,98;0
140;10/01/2022;Loja007;123001;90081;2;Calça algodão;  G;Cinza;51,98;0
141;10/01/2022;Loja006;123000;90063;3;Calça liso;  P;Azul;59,97;0
142;10/01/2022;Loja005;123007;90011;2;Camisa jeans;P;Vermelho;119,98;0
143;10/01/2022;Loja006;123004;90088;1;Regata;M;Cinza;35,99;0
144;10/01/2022;Loja006;123003;90036;4;Blusa manga curta; M;Vermelho;111,96;0
145;10/01/2022;Loja009;123005;90044;1;Blusa em malha;  P;Cinza;49,99;0
146;10/01/2022;Loja002;123002;90026;2;Camisa manga longa;M;Preto;55,98;0
147;10/01/2022;Loja009;123006;90003;2;Colete;P;Preto;111,98;0
148;10/01/2022;Loja004;123004;90050;3;Regata;M;Cinza;107,97;0
149;10/01/2022;Loja007;123003;90024;1;Blusa manga curta; M;Vermelho;27,99;0
150;10/01/2022;Loja009;123005;90012;1;Blusa em malha;  P;Cinza;49,99;0
151;10/01/2022;Loja006;123006;90047;4;Colete;P;Preto;223,96;0
152;11/01/2022;Loja007;123007;90014;4;Camisa jeans;P;Vermelho;239,96;0
153;11/01/2022;Loja009;123003;90028;2;Blusa manga curta; M;Vermelho;55,98;0
154;11/01/2022;Loja003;123001;90015;3;Calça algodão;  G;Cinza;77,97;0
155;11/01/2022;Loja001;123009;90075;1;Jaqueta;GG;Vermelho;91,99;0
156;11/01/2022;Loja009;123008;90087;2;Calça pantalona;G;Vermelho;179,98;0
157;11/01/2022;Loja007;123004;90051;3;Regata;M;Cinza;107,97;0
158;11/01/2022;Loja005;123008;90025;3;Calça pantalona;G;Vermelho;269,97;0
159;11/01/2022;Loja008;123000;90062;1;Calça liso;  P;Azul;19,99;0
160;12/01/2022;Loja006;123005;90028;1;Blusa em malha;  P;Cinza;49,99;0
161;12/01/2022;Loja005;123001;90022;3;Calça algodão;  G;Cinza;70,173;1
162;12/01/2022;Loja003;123006;90070;3;Colete;P;Preto;167,97;0
163;12/01/2022;Loja008;123004;90027;2;Regata;M;Cinza;71,98;0
164;12/01/2022;Loja009;123001;90083;2;Calça algodão;  G;Cinza;46,782;1
165;12/01/2022;Loja006;123002;90073;2;Camisa manga longa;M;Preto;55,98;0
166;12/01/2022;Loja004;123004;90029;3;Regata;M;Cinza;107,97;0
167;12/01/2022;Loja004;123005;90016;2;Blusa em malha;  P;Cinza;99,98;0
168;12/01/2022;Loja009;123002;90012;2;Camisa manga longa;M;Preto;55,98;0
169;12/01/2022;Loja003;123004;90002;3;Regata;M;Cinza;107,97;0
170;12/01/2022;Loja004;123008;90065;2;Calça pantalona;G;Vermelho;179,98;0
171;12/01/2022;Loja003;123006;90082;3;Colete;P;Preto;167,97;0
172;12/01/2022;Loja002;123000;90070;2;Calça liso;  P;Azul;39,98;0
173;13/01/2022;Loja003;123001;90049;2;Calça algodão;  G;Cinza;51,98;0
174;13/01/2022;Loja008;123001;90045;3;Calça algodão;  G;Cinza;77,97;0
175;13/01/2022;Loja009;123003;90089;2;Blusa manga curta; M;Vermelho;55,98;0
176;13/01/2022;Loja006;123008;90013;1;Calça pantalona;G;Vermelho;89,99;0
177;13/01/2022;Loja010;123008;90090;2;Calça pantalona;G;Vermelho;179,98;0
178;13/01/2022;Loja003;123004;90060;3;Regata;M;Cinza;107,97;0
179;13/01/2022;Loja009;123008;90032;2;Calça pantalona;G;Vermelho;161,982;1
180;13/01/2022;Loja006;123008;90065;3;Calça pantalona;G;Vermelho;269,97;0
181;13/01/2022;Loja005;123008;90009;1;Calça pantalona;G;Vermelho;80,991;1
182;13/01/2022;Loja009;123006;90053;2;Colete;P;Preto;111,98;0
183;13/01/2022;Loja003;123001;90076;3;Calça algodão;  G;Cinza;77,97;0
184;13/01/2022;Loja002;123007;90083;1;Camisa jeans;P;Vermelho;59,99;0
185;13/01/2022;Loja009;123003;90006;2;Blusa manga curta; M;Vermelho;55,98;0
186;13/01/2022;Loja004;123004;90027;3;Regata;M;Cinza;107,97;0
187;13/01/2022;Loja006;123002;90057;3;Camisa manga longa;M;Preto;83,97;0
188;13/01/2022;Loja009;123008;90002;2;Calça pantalona;G;Vermelho;179,98;0
189;13/01/2022;Loja009;123001;90053;1;Calça algodão;  G;Cinza;25,99;0
190;13/01/2022;Loja002;123000;90013;1;Calça liso;  P;Azul;19,99;0
191;13/01/2022;Loja008;123001;90004;2;Calça algodão;  G;Cinza;51,98;0
192;13/01/2022;Loja008;123000;90095;2;Calça liso;  P;Azul;35,982;1
193;13/01/2022;Loja005;123000;90052;2;Calça liso;  P;Azul;39,98;0
194;13/01/2022;Loja004;123008;90034;3;Calça pantalona;G;Vermelho;269,97;0
195;13/01/2022;Loja008;123003;90023;3;Blusa manga curta; M;Vermelho;83,97;0
196;13/01/2022;Loja001;123005;90015;3;Blusa em malha;  P;Cinza;149,97;0
197;13/01/2022;Loja005;123001;90014;2;Calça algodão;  G;Cinza;46,782;1
198;13/01/2022;Loja009;123001;90072;2;Calça algodão;  G;Cinza;46,782;1
199;13/01/2022;Loja004;123005;90005;1;Blusa em malha;  P;Cinza;49,99;0
200;13/01/2022;Loja006;123001;90056;2;Calça algodão;  G;Cinza;51,98;0
201;13/01/2022;Loja005;123000;90005;4;Calça liso;  P;Azul;79,96;0
202;13/01/2022;Loja004;123008;90059;4;Calça pantalona;G;Vermelho;359,96;0
203;13/01/2022;Loja001;123000;90011;1;Calça liso;  P;Azul;17,991;1
204;13/01/2022;Loja006;123008;90065;1;Calça pantalona;G;Vermelho;89,99;0
205;13/01/2022;Loja002;123005;90069;3;Blusa em malha;  P;Cinza;134,973;1
206;13/01/2022;Loja005;123007;90067;2;Camisa jeans;P;Vermelho;119,98;0
207;13/01/2022;Loja006;123001;90028;2;Calça algodão;  G;Cinza;51,98;0
208;13/01/2022;Loja007;123007;90086;1;Camisa jeans;P;Vermelho;59,99;0
209;13/01/2022;Loja002;123003;90070;3;Blusa manga curta; M;Vermelho;83,97;0
210;13/01/2022;Loja009;123002;90039;2;Camisa manga longa;M;Preto;55,98;0
211;13/01/2022;Loja007;123002;90018;2;Camisa manga longa;M;Preto;55,98;0
212;13/01/2022;Loja009;123001;90091;2;Calça algodão;  G;Cinza;51,98;0
213;13/01/2022;Loja010;123002;90046;3;Camisa manga longa;M;Preto;83,97;0
214;13/01/2022;Loja003;123000;90001;3;Calça liso;  P;Azul;59,97;0
215;13/01/2022;Loja007;123007;90036;2;Camisa jeans;P;Vermelho;119,98;0
216;13/01/2022;Loja002;123007;90092;2;Camisa jeans;P;Vermelho;119,98;0
217;13/01/2022;Loja004;123006;90071;2;Colete;P;Preto;111,98;0
218;13/01/2022;Loja006;123003;90010;3;Blusa manga curta; M;Vermelho;83,97;0
219;13/01/2022;Loja008;123003;90027;3;Blusa manga curta; M;Vermelho;83,97;0
220;13/01/2022;Loja001;123002;90034;2;Camisa manga longa;M;Preto;55,98;0
221;13/01/2022;Loja002;123007;90095;1;Camisa jeans;P;Vermelho;53,991;1
222;13/01/2022;Loja006;123002;90094;3;Camisa manga longa;M;Preto;83,97;0
223;14/01/2022;Loja008;123006;90001;1;Colete;P;Preto;55,99;0
224;14/01/2022;Loja004;123006;90003;2;Colete;P;Preto;100,782;1
225;14/01/2022;Loja003;123002;90058;2;Camisa manga longa;M;Preto;50,382;1
226;14/01/2022;Loja008;123006;90097;2;Colete;P;Preto;111,98;0
